year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2017,8,Nou Barris,55,Ciutat Meridiana,965.0,333.0,1028.0,206.0,612.0,162.0,571.0,316.0,,
2017,8,Nou Barris,56,Vallbona,136.0,40.0,120.0,18.0,82.0,10.0,109.0,13.0,,
2017,9,Sant Andreu,57,la Trinitat Vella,920.0,351.0,923.0,206.0,603.0,145.0,587.0,286.0,,
2017,9,Sant Andreu,58,Baró de Viver,299.0,80.0,262.0,22.0,174.0,15.0,196.0,23.0,,
2017,9,Sant Andreu,59,el Bon Pastor,1144.0,285.0,1226.0,113.0,868.0,84.0,999.0,125.0,,
2017,9,Sant Andreu,60,Sant Andreu,6801.0,1291.0,7164.0,391.0,4807.0,212.0,4045.0,330.0,,
2017,9,Sant Andreu,61,la Sagrera,3451.0,833.0,3687.0,323.0,2240.0,208.0,1827.0,285.0,,
2017,9,Sant Andreu,62,el Congrés i els Indians,2013.0,404.0,1695.0,171.0,1032.0,106.0,880.0,156.0,,
2017,9,Sant Andreu,63,Navas,2752.0,683.0,2694.0,291.0,1637.0,178.0,1403.0,259.0,,
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,5524.0,1530.0,4606.0,697.0,2775.0,391.0,2094.0,433.0,,
2017,10,Sant Martí,65,el Clot,3104.0,911.0,2955.0,378.0,1994.0,207.0,1930.0,300.0,,
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1965.0,733.0,1651.0,284.0,1038.0,179.0,820.0,213.0,,
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,809.0,471.0,851.0,174.0,664.0,98.0,778.0,98.0,,
