year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2017,10,Sant Martí,71,Provençals del Poblenou,1824,1624,2325,2333,145,170,2264,1993,2213,2157,135,393
2017,10,Sant Martí,72,Sant Martí de Provençals,1814,2256,3071,2984,208,267,2461,3129,3122,2671,164,654
2017,10,Sant Martí,73,la Verneda i la Pau,1363,3019,3683,2978,250,420,1943,3837,3710,2750,188,866
2018,1,Ciutat Vella,1,el Raval,5178,6795,5586,4064,357,235,5413,4978,4223,3462,269,565
2018,1,Ciutat Vella,2,el Barri Gòtic,2830,1787,1796,1830,63,84,3084,1085,1155,1614,58,185
2018,1,Ciutat Vella,3,la Barceloneta,1777,1477,1747,1507,101,132,2110,1469,1510,1339,60,353
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3830,1830,1926,2267,127,93,4414,1685,1601,2127,100,292
2018,2,Eixample,5,el Fort Pienc,5003,1478,2447,3868,209,108,6001,2121,2745,3685,145,332
2018,2,Eixample,6,la Sagrada Família,7722,2333,4079,6041,273,227,9528,4006,4905,5928,216,670
2018,2,Eixample,7,la Dreta de l'Eixample,9217,1067,2273,4680,270,56,10414,1942,2759,5085,233,310
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8327,1202,2436,4963,239,98,9623,2144,3039,5033,198,345
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,10262,2127,3887,6880,337,162,11799,3750,4788,6842,306,540
2018,2,Eixample,10,Sant Antoni,5801,2030,3208,4591,210,163,6592,3044,3511,4198,199,532
2018,3,Sants-Montjuïc,11,el Poble Sec,4151,3860,4342,4114,276,224,5296,4189,3855,3719,202,689
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,27,201,200,63,12,14,34,205,144,56,9,37
2018,3,Sants-Montjuïc,13,la Marina de Port,1693,3261,3771,3099,324,273,2304,4071,3587,2979,261,641
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,1270,664,998,1219,59,75,1529,953,1058,1105,54,190
2018,3,Sants-Montjuïc,15,Hostafrancs,1968,1222,1537,1724,99,96,2442,1495,1562,1624,58,227
2018,3,Sants-Montjuïc,16,la Bordeta,1695,1394,2088,2249,137,143,2240,2000,2054,2049,95,345
2018,3,Sants-Montjuïc,17,Sants - Badal,2450,1872,2439,2672,135,193,3093,2632,2628,2515,134,470
2018,3,Sants-Montjuïc,18,Sants,5204,2605,3869,4709,243,244,6672,3519,3946,4409,208,658
2018,4,Les Corts,19,les Corts,8224,1545,2800,5337,264,145,9171,2705,3678,5657,226,445
